rank,brand,usd,final_bucket,flipped,src_claude,src_accio,src_perplexity,src_chatgpt,src_gemini1,src_gemini2,adjudicated
1,Cresimo,4546.88,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,likely_not_china,unknown,
2,AMZ Advisers,4100.83,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,
3,Bird Buddy,3982.14,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
4,Pure Instinct / VWELL / Coochy Plus,3495.29,likely_not_china,,likely_not_china,likely_china,likely_not_china,likely_not_china,likely_not_china,unknown,yes
5,MIKO,3319.56,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,
6,bedbath,3281.20,likely_not_china,,unknown,unknown,likely_not_china,likely_not_china,unknown,unknown,
7,SellerX Germany GmbH PO000SXGDE003245,2365.23,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,
8,Woodenhouse,2305.07,unknown,,likely_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,yes
9,Smart Home & Garden,2286.06,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
10,Planetary Design,2169.04,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
11,moralve,2038.64,unknown,,likely_china,unknown,likely_not_china,likely_not_china,unknown,unknown,yes
12,BCOZZY,1950.15,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
13,SplashEZ,1817.17,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
14,JLab,1742.53,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
15,True Fresh,1671.05,unknown,,likely_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,yes
16,Gorillaz LLC,1300.92,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,
17,Tractive,1253.53,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,
18,INICAT,1098.01,definitely_china,china,likely_china,unknown,definitely_china,definitely_china,unknown,unknown,yes
19,Eversprout,968.51,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
20,Colugo,949.14,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
21,unboxme,948.47,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
22,Jerome Alexander Cosmetics,926.19,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,definitely_not_china,
23,Primely,910.31,likely_not_china,,unknown,likely_not_china,likely_not_china,unknown,unknown,unknown,
24,ivizel,833.33,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
25,Newton Baby,791.84,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,definitely_not_china,
26,Carnation,791.34,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
